id,latitude,longitude,streetNumber,nearbyStations
61,41.420506,2.171298,s/n,"13,8,5,37"
62,41.4238,2.134756,212,"39,35"
63,41.427645,2.18076,240,"31,4,13,2"
64,41.375079,2.180615,231,"14,34,24"
65,41.404031,2.177704,153,"22,36,18"
66,41.383956,2.155584,17,"28,27,33"
67,41.40025,2.150254,54,"32,6,35"
68,41.36967,2.153582,220,"35,27,29"
69,41.456783,2.122667,178,"18,9,10"
70,41.3815,2.187546,245,
71,41.427177,2.16339,147,"15,29,16"
72,41.390042,2.151001,134,"17,18"
73,41.447408,2.163842,74,"5,15"
74,41.426221,2.177731,19,"3,37,6,33"
75,41.373162,2.150517,s/n,"32,25,15"
76,,2.186451,205,"11,9,20"
77,41.454495,2.193557,174,"15,29,27"
78,41.450392,2.150995,74,"31,25"
79,41.416972,2.131025,109,"5,39"
80,41.374546,2.18083,193,"12,29"
81,41.379246,2.199436,115,"26,24,2"
82,41.452791,2.131839,113,"21,26,10,35"
83,41.415233,2.177014,81,"29,9,22,6"
84,41.378055,2.186026,s/n,"12,36,8"
85,41.448406,2.193646,267,
86,41.424157,2.129871,78,"38,19"
87,,2.127345,88,"35,30,2,20"
88,41.397629,2.19903,s/n,"23,13"
89,41.401096,2.129341,57,
90,41.383949,2.134145,157,"13,22,32,8"
91,41.363806,2.165996,265,"39,36"
92,41.447622,2.155702,189,"27,35,22,8"
93,,2.180031,50,"39,25,36"
94,41.414764,2.135245,61,"33,17,13,4"
95,41.392216,2.193154,23,"5,27,1,38"
96,41.435132,2.137376,288,"6,28"
97,41.36252,2.181529,104,"20,39,13"
98,41.397219,2.125408,87,"27,20,30"
99,41.363035,2.157872,257,"4,39,23,1"
100,41.372289,2.122605,92,"35,36,28,32"
101,41.456715,2.145105,70,"1,5"
102,41.425776,2.144978,77,"6,3"
103,41.402822,2.17758,119,"26,31,32"
104,41.412374,2.156401,21,
105,41.447281,2.124542,192,"9,2,33,13"
106,41.394421,2.199629,127,"32,16,36,37"
107,41.419029,2.191096,291,"28,1,18"
108,41.428368,2.193306,231,"28,39"
109,41.395541,2.139726,115,"34,33,35"
110,41.41191,2.151529,213,"33,18,11,36"
111,41.436525,2.138174,242,"2,16"
112,41.450918,2.129993,s/n,"26,27,21,3"
113,41.375106,,48,
114,41.453342,2.160267,41,"26,5"
115,41.360518,2.129851,14,"16,27"
116,41.435298,2.134104,97,"36,35,23,28"
117,41.441053,2.188838,238,"31,1,16"
118,41.373676,2.158739,230,"7,18,12,20"
119,41.40189,2.134696,114,"16,3"
120,41.441526,2.173589,146,"13,26"
121,41.361427,2.141269,230,"10,28,1"
122,41.422846,2.162155,277,"14,39,20,33"
123,41.439302,2.142636,85,"19,7,35,10"
124,41.4113,,197,"17,33,29,25"
125,41.432585,2.170283,178,"39,11,29"
126,41.382642,2.162897,186,"37,23,9"
127,41.379852,2.151648,240,"31,28"
128,41.396313,2.183265,230,"36,15,14"
129,41.377941,2.189875,119,"17,25,10"
130,41.394606,2.13435,225,"25,38,3"
131,41.454812,2.130905,17,"34,26"
132,41.417333,2.129055,103,"17,38,37,7"
133,41.394007,2.198368,66,"34,3"
134,41.387152,2.195327,77,"8,24,20"
135,41.455204,2.138453,270,"5,21,14,11"
136,41.404448,2.197593,131,"27,6,37,34"
137,41.458039,2.136625,22,"36,34,5,8"
138,41.411552,2.160518,147,"28,17"
139,41.412117,2.159791,21,
140,41.449654,2.193196,43,"17,33,36,10"
141,41.434277,2.123242,115,"34,18,16"
142,41.418065,2.145228,132,"34,24"
143,41.402665,2.167998,70,"32,6,4,1"
144,41.447819,2.125312,192,"16,23,37,11"
145,41.401165,2.138924,149,"36,9"
146,41.452276,2.157205,41,"21,24,18"
147,41.366872,2.190469,246,"5,32,31"
148,41.403,2.180877,42,"6,18,21"
149,41.411951,2.186318,s/n,"13,24"
150,41.455094,2.180886,52,"18,32,39,15"
151,41.3851,,283,"8,21,39,30"
152,41.440604,2.187975,s/n,"31,36,28,20"
153,41.427647,2.174518,260,"29,33,20,7"
154,41.431709,2.178855,288,"26,34,19,15"
155,41.422962,2.144132,66,"11,33,35,36"
156,41.457156,2.133411,8,
157,41.393268,2.180522,5,"38,17"
158,41.399828,2.133267,55,"35,20,3"
159,41.380291,2.193556,s/n,"30,21"
160,41.36507,2.167731,50,"14,25,12"
161,41.381291,2.146355,287,"32,26"
162,41.451546,,142,"26,17,22,12"
163,,2.13241,254,"16,37"
164,41.371241,2.161157,5,"29,26,33"
165,41.420378,2.127324,40,"32,30"
166,41.40792,2.197234,137,"39,35"
167,41.419468,2.16603,49,"5,14"
168,41.425928,2.184293,49,"17,8,6"
169,41.390666,2.142554,8,"12,27"
170,41.456135,2.184144,81,"24,5,33,27"
171,41.406584,2.176227,229,"2,38"
172,41.42281,2.171495,237,"31,30"
173,41.423523,2.196045,153,"34,11"
174,41.378389,2.154679,56,"31,29,33"
175,41.366187,2.153207,135,"4,3,28"
176,41.401152,2.17537,185,"35,11"
177,41.436403,2.186804,44,"25,16,22"
178,41.441522,2.146806,122,"1,39,8,18"
179,41.432999,2.173573,247,"21,16"
180,41.37132,2.136723,125,
181,41.451335,2.164136,141,"18,17"
182,41.440204,2.181534,245,"3,22,8,21"
183,41.447769,2.125225,201,"23,15,22"
184,41.41233,2.178227,49,"16,17,13"
185,41.451564,2.121235,s/n,"32,30,27,7"
186,41.364665,2.196668,277,
187,41.363029,2.157494,64,"5,3,11"
188,41.362022,2.152726,268,"11,4,13,33"
189,41.385277,2.177636,s/n,"12,30,11,4"
190,41.384857,2.161864,200,"12,11,7,32"
191,41.37875,2.178468,100,"20,18,5,37"
192,41.416706,2.126781,15,"15,25,3,24"
193,41.363899,2.165023,8,"26,7"
194,41.419039,2.164649,199,"39,30,38,18"
195,41.376601,2.194569,294,"7,34,16"
196,41.427787,2.123168,180,"19,13,21,5"
197,41.362108,2.156226,108,"29,8"
198,41.391057,2.170486,231,"2,28"
199,41.453834,2.16406,283,"19,34,33,35"
200,41.41384,2.125933,64,"1,11,16"
201,41.441159,2.167458,32,"29,3,21"
202,41.425803,2.137776,286,"34,18,24,37"
203,41.421075,2.135644,14,"39,14,36,31"
204,41.379125,2.190295,265,"6,26,15"
205,41.417439,2.135827,44,"22,2"
206,41.363969,2.156343,35,"35,30,11,15"
207,41.440166,2.180023,83,"33,14"
208,41.456007,2.176585,95,"3,35,12,5"
209,41.445401,2.164277,s/n,"33,1,15,23"
210,41.365071,2.184564,10,"37,2"
211,41.393866,2.157265,256,"2,15,19"
212,41.3918,2.169631,249,"28,34"
213,41.371272,2.185513,204,"2,26,22,23"
214,41.422661,2.174247,s/n,"25,37,21,5"
215,41.439746,2.171346,281,"7,20,39,16"
216,41.391372,2.15249,296,"36,18"
217,41.446281,2.164666,113,"13,32,12,3"
218,41.439713,2.151687,183,"17,31,1"
219,41.372914,2.179543,229,"18,21,17"
220,41.436686,2.150434,200,"27,37,19"
221,41.448262,2.15733,237,"39,27,19"
222,41.379728,2.180437,203,"36,19,14,4"
223,41.417364,2.160292,116,"6,22,38,17"
224,41.423875,2.147043,171,"32,5,14"
225,41.420933,2.186146,60,"39,35"
226,41.369625,2.150477,285,"23,22"
227,41.426119,2.187578,268,"37,30,39,24"
228,41.423195,2.182819,182,"24,5,10,31"
229,41.442389,2.155783,230,"12,27,10,30"
230,41.440351,,101,"21,26"
231,41.392717,2.122751,115,"31,35,3,4"
232,41.432205,2.151184,154,"13,1"
233,41.446727,2.188827,79,"4,11,26"
234,41.449295,2.166363,6,"9,24"
235,41.376151,2.164626,119,"31,29,9"
236,41.36267,,217,"16,29"
237,,2.174214,78,"4,6"
238,41.381468,2.166688,208,"9,36,23,26"
239,41.416371,2.15365,s/n,"15,30"
240,41.45448,2.134679,126,"15,26,18"
