bikesInUsage,dateTime
125,2019-03-01 06:10:00
118,2019-03-01 06:15:00
106,2019-03-01 06:20:00
106,2019-03-01 06:25:00
107,2019-03-01 06:30:00
128,2019-03-01 06:35:00
105,2019-03-01 06:40:00
106,2019-03-01 06:45:00
114,2019-03-01 06:50:00
109,2019-03-01 06:55:00
198,2019-03-01 07:00:00
187,2019-03-01 07:05:00
200,2019-03-01 07:10:00
195,2019-03-01 07:15:00
214,2019-03-01 07:20:00
208,2019-03-01 07:25:00
200,2019-03-01 07:30:00
208,2019-03-01 07:35:00
196,2019-03-01 07:40:00
213,2019-03-01 07:45:00
200,2019-03-01 07:50:00
207,2019-03-01 07:55:00
285,2019-03-01 08:00:00
304,2019-03-01 08:05:00
280,2019-03-01 08:10:00
276,2019-03-01 08:15:00
296,2019-03-01 08:20:00
289,2019-03-01 08:25:00
302,2019-03-01 08:30:00
327,2019-03-01 08:35:00
290,2019-03-01 08:40:00
293,2019-03-01 08:45:00
302,2019-03-01 08:50:00
306,2019-03-01 08:55:00
248,2019-03-01 09:00:00
248,2019-03-01 09:05:00
258,2019-03-01 09:10:00
256,2019-03-01 09:15:00
238,2019-03-01 09:20:00
249,2019-03-01 09:25:00
250,2019-03-01 09:30:00
237,2019-03-01 09:35:00
253,2019-03-01 09:40:00
240,2019-03-01 09:45:00
262,2019-03-01 09:50:00
252,2019-03-01 09:55:00
211,2019-03-01 10:00:00
203,2019-03-01 10:05:00
209,2019-03-01 10:10:00
186,2019-03-01 10:15:00
196,2019-03-01 10:20:00
214,2019-03-01 10:25:00
184,2019-03-01 10:30:00
220,2019-03-01 10:35:00
189,2019-03-01 10:40:00
219,2019-03-01 10:45:00
200,2019-03-01 10:50:00
219,2019-03-01 10:55:00
217,2019-03-01 11:00:00
197,2019-03-01 11:05:00
230,2019-03-01 11:10:00
232,2019-03-01 11:15:00
214,2019-03-01 11:20:00
212,2019-03-01 11:25:00
213,2019-03-01 11:30:00
203,2019-03-01 11:35:00
228,2019-03-01 11:40:00
208,2019-03-01 11:45:00
214,2019-03-01 11:50:00
205,2019-03-01 11:55:00
222,2019-03-01 12:00:00
215,2019-03-01 12:05:00
245,2019-03-01 12:10:00
228,2019-03-01 12:15:00
242,2019-03-01 12:20:00
230,2019-03-01 12:25:00
222,2019-03-01 12:30:00
226,2019-03-01 12:35:00
223,2019-03-01 12:40:00
230,2019-03-01 12:45:00
225,2019-03-01 12:50:00
226,2019-03-01 12:55:00
218,2019-03-01 13:00:00
225,2019-03-01 13:05:00
255,2019-03-01 13:10:00
227,2019-03-01 13:15:00
222,2019-03-01 13:20:00
239,2019-03-01 13:25:00
252,2019-03-01 13:30:00
218,2019-03-01 13:35:00
232,2019-03-01 13:40:00
227,2019-03-01 13:45:00
214,2019-03-01 13:50:00
244,2019-03-01 13:55:00
215,2019-03-01 14:00:00
216,2019-03-01 14:05:00
206,2019-03-01 14:10:00
220,2019-03-01 14:15:00
209,2019-03-01 14:20:00
213,2019-03-01 14:25:00
202,2019-03-01 14:30:00
200,2019-03-01 14:35:00
231,2019-03-01 14:40:00
209,2019-03-01 14:45:00
219,2019-03-01 14:50:00
215,2019-03-01 14:55:00
205,2019-03-01 15:00:00
204,2019-03-01 15:05:00
218,2019-03-01 15:10:00
206,2019-03-01 15:15:00
208,2019-03-01 15:20:00
210,2019-03-01 15:25:00
224,2019-03-01 15:30:00
218,2019-03-01 15:35:00
215,2019-03-01 15:40:00
203,2019-03-01 15:45:00
193,2019-03-01 15:50:00
221,2019-03-01 15:55:00
237,2019-03-01 16:00:00
223,2019-03-01 16:05:00
232,2019-03-01 16:10:00
234,2019-03-01 16:15:00
235,2019-03-01 16:20:00
236,2019-03-01 16:25:00
220,2019-03-01 16:30:00
243,2019-03-01 16:35:00
210,2019-03-01 16:40:00
235,2019-03-01 16:45:00
231,2019-03-01 16:50:00
235,2019-03-01 16:55:00
293,2019-03-01 17:00:00
288,2019-03-01 17:05:00
256,2019-03-01 17:10:00
250,2019-03-01 17:15:00
280,2019-03-01 17:20:00
258,2019-03-01 17:25:00
270,2019-03-01 17:30:00
280,2019-03-01 17:35:00
250,2019-03-01 17:40:00
245,2019-03-01 17:45:00
273,2019-03-01 17:50:00
271,2019-03-01 17:55:00
312,2019-03-01 18:00:00
315,2019-03-01 18:05:00
305,2019-03-01 18:10:00
297,2019-03-01 18:15:00
313,2019-03-01 18:20:00
303,2019-03-01 18:25:00
295,2019-03-01 18:30:00
321,2019-03-01 18:35:00
314,2019-03-01 18:40:00
320,2019-03-01 18:45:00
303,2019-03-01 18:50:00
307,2019-03-01 18:55:00
238,2019-03-01 19:00:00
239,2019-03-01 19:05:00
252,2019-03-01 19:10:00
241,2019-03-01 19:15:00
254,2019-03-01 19:20:00
254,2019-03-01 19:25:00
274,2019-03-01 19:30:00
233,2019-03-01 19:35:00
261,2019-03-01 19:40:00
249,2019-03-01 19:45:00
250,2019-03-01 19:50:00
233,2019-03-01 19:55:00
169,2019-03-01 20:00:00
184,2019-03-01 20:05:00
174,2019-03-01 20:10:00
176,2019-03-01 20:15:00
172,2019-03-01 20:20:00
189,2019-03-01 20:25:00
175,2019-03-01 20:30:00
149,2019-03-01 20:35:00
167,2019-03-01 20:40:00
151,2019-03-01 20:45:00
136,2019-03-01 20:50:00
169,2019-03-01 20:55:00
136,2019-03-01 21:00:00
121,2019-03-01 21:05:00
106,2019-03-01 21:10:00
109,2019-03-01 21:15:00
134,2019-03-01 21:20:00
122,2019-03-01 21:25:00
121,2019-03-01 21:30:00
119,2019-03-01 21:35:00
120,2019-03-01 21:40:00
130,2019-03-01 21:45:00
127,2019-03-01 21:50:00
123,2019-03-01 21:55:00
62,2019-03-01 22:00:00
81,2019-03-01 22:05:00
67,2019-03-01 22:10:00
88,2019-03-01 22:15:00
60,2019-03-01 22:20:00
73,2019-03-01 22:25:00
75,2019-03-01 22:30:00
59,2019-03-01 22:35:00
96,2019-03-01 22:40:00
93,2019-03-01 22:45:00
69,2019-03-01 22:50:00
84,2019-03-01 22:55:00
50,2019-03-01 23:00:00
14,2019-03-01 23:05:00
48,2019-03-01 23:10:00
44,2019-03-01 23:15:00
46,2019-03-01 23:20:00
32,2019-03-01 23:25:00
42,2019-03-01 23:30:00
43,2019-03-01 23:35:00
59,2019-03-01 23:40:00
49,2019-03-01 23:45:00
45,2019-03-01 23:50:00
63,2019-03-01 23:55:00
21,2019-03-02 00:00:00
23,2019-03-02 00:05:00
6,2019-03-02 00:10:00
47,2019-03-02 00:15:00
40,2019-03-02 00:20:00
39,2019-03-02 00:25:00
36,2019-03-02 00:30:00
29,2019-03-02 00:35:00
31,2019-03-02 00:40:00
25,2019-03-02 00:45:00
26,2019-03-02 00:50:00
29,2019-03-02 00:55:00
42,2019-03-02 01:00:00
31,2019-03-02 01:05:00
23,2019-03-02 01:10:00
17,2019-03-02 01:15:00
16,2019-03-02 01:20:00
43,2019-03-02 01:25:00
30,2019-03-02 01:30:00
25,2019-03-02 01:35:00
20,2019-03-02 01:40:00
11,2019-03-02 01:45:00
23,2019-03-02 01:50:00
34,2019-03-02 01:55:00
17,2019-03-02 02:00:00
19,2019-03-02 02:05:00
19,2019-03-02 02:10:00
23,2019-03-02 02:15:00
3,2019-03-02 02:20:00
19,2019-03-02 02:25:00
12,2019-03-02 02:30:00
33,2019-03-02 02:35:00
13,2019-03-02 02:40:00
29,2019-03-02 02:45:00
40,2019-03-02 02:50:00
18,2019-03-02 02:55:00
15,2019-03-02 03:00:00
24,2019-03-02 03:05:00
22,2019-03-02 03:10:00
10,2019-03-02 03:15:00
28,2019-03-02 03:20:00
46,2019-03-02 03:25:00
19,2019-03-02 03:30:00
20,2019-03-02 03:35:00
9,2019-03-02 03:40:00
26,2019-03-02 03:45:00
7,2019-03-02 03:50:00
9,2019-03-02 03:55:00
41,2019-03-02 04:00:00
15,2019-03-02 04:05:00
39,2019-03-02 04:10:00
44,2019-03-02 04:15:00
29,2019-03-02 04:20:00
33,2019-03-02 04:25:00
49,2019-03-02 04:30:00
24,2019-03-02 04:35:00
19,2019-03-02 04:40:00
10,2019-03-02 04:45:00
27,2019-03-02 04:50:00
44,2019-03-02 04:55:00
57,2019-03-02 05:00:00
34,2019-03-02 05:05:00
35,2019-03-02 05:10:00
39,2019-03-02 05:15:00
49,2019-03-02 05:20:00
43,2019-03-02 05:25:00
48,2019-03-02 05:30:00
49,2019-03-02 05:35:00
41,2019-03-02 05:40:00
45,2019-03-02 05:45:00
47,2019-03-02 05:50:00
44,2019-03-02 05:55:00
116,2019-03-02 06:00:00
132,2019-03-02 06:05:00
117,2019-03-02 06:10:00
111,2019-03-02 06:15:00
90,2019-03-02 06:20:00
115,2019-03-02 06:25:00
87,2019-03-02 06:30:00
93,2019-03-02 06:35:00
120,2019-03-02 06:40:00
118,2019-03-02 06:45:00
108,2019-03-02 06:50:00
89,2019-03-02 06:55:00
196,2019-03-02 07:00:00
192,2019-03-02 07:05:00
208,2019-03-02 07:10:00
227,2019-03-02 07:15:00
203,2019-03-02 07:20:00
191,2019-03-02 07:25:00
186,2019-03-02 07:30:00
199,2019-03-02 07:35:00
198,2019-03-02 07:40:00
186,2019-03-02 07:45:00
201,2019-03-02 07:50:00
186,2019-03-02 07:55:00
313,2019-03-02 08:00:00
313,2019-03-02 08:05:00
313,2019-03-02 08:10:00
294,2019-03-02 08:15:00
306,2019-03-02 08:20:00
298,2019-03-02 08:25:00
295,2019-03-02 08:30:00
296,2019-03-02 08:35:00
284,2019-03-02 08:40:00
283,2019-03-02 08:45:00
310,2019-03-02 08:50:00
298,2019-03-02 08:55:00
253,2019-03-02 09:00:00
262,2019-03-02 09:05:00
229,2019-03-02 09:10:00
241,2019-03-02 09:15:00
252,2019-03-02 09:20:00
255,2019-03-02 09:25:00
245,2019-03-02 09:30:00
262,2019-03-02 09:35:00
253,2019-03-02 09:40:00
235,2019-03-02 09:45:00
239,2019-03-02 09:50:00
260,2019-03-02 09:55:00
216,2019-03-02 10:00:00
187,2019-03-02 10:05:00
226,2019-03-02 10:10:00
217,2019-03-02 10:15:00
226,2019-03-02 10:20:00
205,2019-03-02 10:25:00
206,2019-03-02 10:30:00
196,2019-03-02 10:35:00
240,2019-03-02 10:40:00
208,2019-03-02 10:45:00
229,2019-03-02 10:50:00
202,2019-03-02 10:55:00
217,2019-03-02 11:00:00
195,2019-03-02 11:05:00
210,2019-03-02 11:10:00
227,2019-03-02 11:15:00
200,2019-03-02 11:20:00
228,2019-03-02 11:25:00
219,2019-03-02 11:30:00
202,2019-03-02 11:35:00
209,2019-03-02 11:40:00
209,2019-03-02 11:45:00
214,2019-03-02 11:50:00
209,2019-03-02 11:55:00
640,2019-03-02 12:00:00
628,2019-03-02 12:05:00
651,2019-03-02 12:10:00
215,2019-03-02 12:15:00
229,2019-03-02 12:20:00
241,2019-03-02 12:25:00
212,2019-03-02 12:30:00
230,2019-03-02 12:35:00
222,2019-03-02 12:40:00
218,2019-03-02 12:45:00
240,2019-03-02 12:50:00
224,2019-03-02 12:55:00
253,2019-03-02 13:00:00
226,2019-03-02 13:05:00
240,2019-03-02 13:10:00
232,2019-03-02 13:15:00
226,2019-03-02 13:20:00
242,2019-03-02 13:25:00
233,2019-03-02 13:30:00
242,2019-03-02 13:35:00
234,2019-03-02 13:40:00
222,2019-03-02 13:45:00
234,2019-03-02 13:50:00
236,2019-03-02 13:55:00
227,2019-03-02 14:00:00
204,2019-03-02 14:05:00
215,2019-03-02 14:10:00
194,2019-03-02 14:15:00
223,2019-03-02 14:20:00
202,2019-03-02 14:25:00
193,2019-03-02 14:30:00
214,2019-03-02 14:35:00
228,2019-03-02 14:40:00
197,2019-03-02 14:45:00
202,2019-03-02 14:50:00
206,2019-03-02 14:55:00
196,2019-03-02 15:00:00
215,2019-03-02 15:05:00
200,2019-03-02 15:10:00
201,2019-03-02 15:15:00
217,2019-03-02 15:20:00
201,2019-03-02 15:25:00
215,2019-03-02 15:30:00
198,2019-03-02 15:35:00
195,2019-03-02 15:40:00
188,2019-03-02 15:45:00
232,2019-03-02 15:50:00
206,2019-03-02 15:55:00
228,2019-03-02 16:00:00
225,2019-03-02 16:05:00
227,2019-03-02 16:10:00
226,2019-03-02 16:15:00
248,2019-03-02 16:20:00
213,2019-03-02 16:25:00
206,2019-03-02 16:30:00
213,2019-03-02 16:35:00
209,2019-03-02 16:40:00
234,2019-03-02 16:45:00
235,2019-03-02 16:50:00
213,2019-03-02 16:55:00
253,2019-03-02 17:00:00
266,2019-03-02 17:05:00
287,2019-03-02 17:10:00
236,2019-03-02 17:15:00
276,2019-03-02 17:20:00
257,2019-03-02 17:25:00
282,2019-03-02 17:30:00
257,2019-03-02 17:35:00
267,2019-03-02 17:40:00
252,2019-03-02 17:45:00
258,2019-03-02 17:50:00
287,2019-03-02 17:55:00
325,2019-03-02 18:00:00
310,2019-03-02 18:05:00
305,2019-03-02 18:10:00
292,2019-03-02 18:15:00
310,2019-03-02 18:20:00
315,2019-03-02 18:25:00
314,2019-03-02 18:30:00
314,2019-03-02 18:35:00
302,2019-03-02 18:40:00
314,2019-03-02 18:45:00
315,2019-03-02 18:50:00
330,2019-03-02 18:55:00
272,2019-03-02 19:00:00
248,2019-03-02 19:05:00
241,2019-03-02 19:10:00
249,2019-03-02 19:15:00
243,2019-03-02 19:20:00
241,2019-03-02 19:25:00
249,2019-03-02 19:30:00
237,2019-03-02 19:35:00
257,2019-03-02 19:40:00
249,2019-03-02 19:45:00
253,2019-03-02 19:50:00
248,2019-03-02 19:55:00
166,2019-03-02 20:00:00
164,2019-03-02 20:05:00
172,2019-03-02 20:10:00
168,2019-03-02 20:15:00
178,2019-03-02 20:20:00
175,2019-03-02 20:25:00
159,2019-03-02 20:30:00
176,2019-03-02 20:35:00
159,2019-03-02 20:40:00
168,2019-03-02 20:45:00
171,2019-03-02 20:50:00
150,2019-03-02 20:55:00
121,2019-03-02 21:00:00
122,2019-03-02 21:05:00
118,2019-03-02 21:10:00
115,2019-03-02 21:15:00
116,2019-03-02 21:20:00
108,2019-03-02 21:25:00
117,2019-03-02 21:30:00
113,2019-03-02 21:35:00
121,2019-03-02 21:40:00
106,2019-03-02 21:45:00
123,2019-03-02 21:50:00
122,2019-03-02 21:55:00
73,2019-03-02 22:00:00
70,2019-03-02 22:05:00
82,2019-03-02 22:10:00
55,2019-03-02 22:15:00
81,2019-03-02 22:20:00
78,2019-03-02 22:25:00
78,2019-03-02 22:30:00
80,2019-03-02 22:35:00
67,2019-03-02 22:40:00
72,2019-03-02 22:45:00
83,2019-03-02 22:50:00
80,2019-03-02 22:55:00
47,2019-03-02 23:00:00
27,2019-03-02 23:05:00
51,2019-03-02 23:10:00
59,2019-03-02 23:15:00
57,2019-03-02 23:20:00
48,2019-03-02 23:25:00
26,2019-03-02 23:30:00
56,2019-03-02 23:35:00
43,2019-03-02 23:40:00
15,2019-03-02 23:45:00
50,2019-03-02 23:50:00
27,2019-03-02 23:55:00
12,2019-03-03 00:00:00
20,2019-03-03 00:05:00
43,2019-03-03 00:10:00
24,2019-03-03 00:15:00
31,2019-03-03 00:20:00
49,2019-03-03 00:25:00
47,2019-03-03 00:30:00
27,2019-03-03 00:35:00
25,2019-03-03 00:40:00
13,2019-03-03 00:45:00
20,2019-03-03 00:50:00
33,2019-03-03 00:55:00
29,2019-03-03 01:00:00
25,2019-03-03 01:05:00
36,2019-03-03 01:10:00
15,2019-03-03 01:15:00
23,2019-03-03 01:20:00
33,2019-03-03 01:25:00
31,2019-03-03 01:30:00
37,2019-03-03 01:35:00
29,2019-03-03 01:40:00
20,2019-03-03 01:45:00
28,2019-03-03 01:50:00
12,2019-03-03 01:55:00
2,2019-03-03 02:00:00
29,2019-03-03 02:05:00
21,2019-03-03 02:10:00
26,2019-03-03 02:15:00
2,2019-03-03 02:20:00
18,2019-03-03 02:25:00
15,2019-03-03 02:30:00
12,2019-03-03 02:35:00
0,2019-03-03 02:40:00
18,2019-03-03 02:45:00
33,2019-03-03 02:50:00
27,2019-03-03 02:55:00
15,2019-03-03 03:00:00
22,2019-03-03 03:05:00
31,2019-03-03 03:10:00
0,2019-03-03 03:15:00
21,2019-03-03 03:20:00
29,2019-03-03 03:25:00
30,2019-03-03 03:30:00
42,2019-03-03 03:35:00
36,2019-03-03 03:40:00
26,2019-03-03 03:45:00
26,2019-03-03 03:50:00
31,2019-03-03 03:55:00
20,2019-03-03 04:00:00
26,2019-03-03 04:05:00
37,2019-03-03 04:10:00
49,2019-03-03 04:15:00
24,2019-03-03 04:20:00
25,2019-03-03 04:25:00
28,2019-03-03 04:30:00
42,2019-03-03 04:35:00
26,2019-03-03 04:40:00
44,2019-03-03 04:45:00
14,2019-03-03 04:50:00
24,2019-03-03 04:55:00
43,2019-03-03 05:00:00
54,2019-03-03 05:05:00
58,2019-03-03 05:10:00
27,2019-03-03 05:15:00
34,2019-03-03 05:20:00
49,2019-03-03 05:25:00
37,2019-03-03 05:30:00
27,2019-03-03 05:35:00
57,2019-03-03 05:40:00
51,2019-03-03 05:45:00
51,2019-03-03 05:50:00
39,2019-03-03 05:55:00
122,2019-03-03 06:00:00
107,2019-03-03 06:05:00
123,2019-03-03 06:10:00
99,2019-03-03 06:15:00
100,2019-03-03 06:20:00
112,2019-03-03 06:25:00
102,2019-03-03 06:30:00
118,2019-03-03 06:35:00
113,2019-03-03 06:40:00
99,2019-03-03 06:45:00
111,2019-03-03 06:50:00
106,2019-03-03 06:55:00
211,2019-03-03 07:00:00
192,2019-03-03 07:05:00
195,2019-03-03 07:10:00
215,2019-03-03 07:15:00
227,2019-03-03 07:20:00
224,2019-03-03 07:25:00
201,2019-03-03 07:30:00
203,2019-03-03 07:35:00
218,2019-03-03 07:40:00
199,2019-03-03 07:45:00
188,2019-03-03 07:50:00
201,2019-03-03 07:55:00
305,2019-03-03 08:00:00
290,2019-03-03 08:05:00
280,2019-03-03 08:10:00
283,2019-03-03 08:15:00
308,2019-03-03 08:20:00
291,2019-03-03 08:25:00
298,2019-03-03 08:30:00
303,2019-03-03 08:35:00
307,2019-03-03 08:40:00
296,2019-03-03 08:45:00
306,2019-03-03 08:50:00
289,2019-03-03 08:55:00
246,2019-03-03 09:00:00
238,2019-03-03 09:05:00
264,2019-03-03 09:10:00
250,2019-03-03 09:15:00
241,2019-03-03 09:20:00
246,2019-03-03 09:25:00
247,2019-03-03 09:30:00
258,2019-03-03 09:35:00
231,2019-03-03 09:40:00
238,2019-03-03 09:45:00
245,2019-03-03 09:50:00
280,2019-03-03 09:55:00
221,2019-03-03 10:00:00
209,2019-03-03 10:05:00
219,2019-03-03 10:10:00
235,2019-03-03 10:15:00
207,2019-03-03 10:20:00
206,2019-03-03 10:25:00
225,2019-03-03 10:30:00
216,2019-03-03 10:35:00
218,2019-03-03 10:40:00
204,2019-03-03 10:45:00
233,2019-03-03 10:50:00
231,2019-03-03 10:55:00
222,2019-03-03 11:00:00
223,2019-03-03 11:05:00
191,2019-03-03 11:10:00
223,2019-03-03 11:15:00
213,2019-03-03 11:20:00
220,2019-03-03 11:25:00
223,2019-03-03 11:30:00
211,2019-03-03 11:35:00
195,2019-03-03 11:40:00
219,2019-03-03 11:45:00
206,2019-03-03 11:50:00
211,2019-03-03 11:55:00
223,2019-03-03 12:00:00
226,2019-03-03 12:05:00
202,2019-03-03 12:10:00
245,2019-03-03 12:15:00
233,2019-03-03 12:20:00
243,2019-03-03 12:25:00
254,2019-03-03 12:30:00
230,2019-03-03 12:35:00
208,2019-03-03 12:40:00
219,2019-03-03 12:45:00
216,2019-03-03 12:50:00
224,2019-03-03 12:55:00
236,2019-03-03 13:00:00
211,2019-03-03 13:05:00
239,2019-03-03 13:10:00
217,2019-03-03 13:15:00
239,2019-03-03 13:20:00
234,2019-03-03 13:25:00
231,2019-03-03 13:30:00
234,2019-03-03 13:35:00
229,2019-03-03 13:40:00
228,2019-03-03 13:45:00
215,2019-03-03 13:50:00
235,2019-03-03 13:55:00
237,2019-03-03 14:00:00
239,2019-03-03 14:05:00
231,2019-03-03 14:10:00
223,2019-03-03 14:15:00
207,2019-03-03 14:20:00
232,2019-03-03 14:25:00
214,2019-03-03 14:30:00
214,2019-03-03 14:35:00
212,2019-03-03 14:40:00
216,2019-03-03 14:45:00
210,2019-03-03 14:50:00
214,2019-03-03 14:55:00
197,2019-03-03 15:00:00
206,2019-03-03 15:05:00
237,2019-03-03 15:10:00
209,2019-03-03 15:15:00
207,2019-03-03 15:20:00
216,2019-03-03 15:25:00
218,2019-03-03 15:30:00
197,2019-03-03 15:35:00
208,2019-03-03 15:40:00
221,2019-03-03 15:45:00
213,2019-03-03 15:50:00
211,2019-03-03 15:55:00
244,2019-03-03 16:00:00
217,2019-03-03 16:05:00
226,2019-03-03 16:10:00
219,2019-03-03 16:15:00
243,2019-03-03 16:20:00
202,2019-03-03 16:25:00
217,2019-03-03 16:30:00
219,2019-03-03 16:35:00
233,2019-03-03 16:40:00
232,2019-03-03 16:45:00
242,2019-03-03 16:50:00
206,2019-03-03 16:55:00
279,2019-03-03 17:00:00
266,2019-03-03 17:05:00
262,2019-03-03 17:10:00
276,2019-03-03 17:15:00
259,2019-03-03 17:20:00
245,2019-03-03 17:25:00
266,2019-03-03 17:30:00
252,2019-03-03 17:35:00
262,2019-03-03 17:40:00
274,2019-03-03 17:45:00
274,2019-03-03 17:50:00
289,2019-03-03 17:55:00
313,2019-03-03 18:00:00
297,2019-03-03 18:05:00
306,2019-03-03 18:10:00
304,2019-03-03 18:15:00
300,2019-03-03 18:20:00
320,2019-03-03 18:25:00
307,2019-03-03 18:30:00
291,2019-03-03 18:35:00
323,2019-03-03 18:40:00
314,2019-03-03 18:45:00
319,2019-03-03 18:50:00
316,2019-03-03 18:55:00
258,2019-03-03 19:00:00
250,2019-03-03 19:05:00
265,2019-03-03 19:10:00
255,2019-03-03 19:15:00
255,2019-03-03 19:20:00
255,2019-03-03 19:25:00
233,2019-03-03 19:30:00
248,2019-03-03 19:35:00
247,2019-03-03 19:40:00
252,2019-03-03 19:45:00
234,2019-03-03 19:50:00
270,2019-03-03 19:55:00
176,2019-03-03 20:00:00
160,2019-03-03 20:05:00
154,2019-03-03 20:10:00
172,2019-03-03 20:15:00
174,2019-03-03 20:20:00
166,2019-03-03 20:25:00
176,2019-03-03 20:30:00
167,2019-03-03 20:35:00
182,2019-03-03 20:40:00
166,2019-03-03 20:45:00
175,2019-03-03 20:50:00
187,2019-03-03 20:55:00
151,2019-03-03 21:00:00
108,2019-03-03 21:05:00
114,2019-03-03 21:10:00
110,2019-03-03 21:15:00
129,2019-03-03 21:20:00
106,2019-03-03 21:25:00
114,2019-03-03 21:30:00
120,2019-03-03 21:35:00
108,2019-03-03 21:40:00
109,2019-03-03 21:45:00
114,2019-03-03 21:50:00
95,2019-03-03 21:55:00
58,2019-03-03 22:00:00
70,2019-03-03 22:05:00
77,2019-03-03 22:10:00
73,2019-03-03 22:15:00
54,2019-03-03 22:20:00
69,2019-03-03 22:25:00
85,2019-03-03 22:30:00
82,2019-03-03 22:35:00
74,2019-03-03 22:40:00
64,2019-03-03 22:45:00
83,2019-03-03 22:50:00
68,2019-03-03 22:55:00
31,2019-03-03 23:00:00
35,2019-03-03 23:05:00
62,2019-03-03 23:10:00
48,2019-03-03 23:15:00
59,2019-03-03 23:20:00
39,2019-03-03 23:25:00
56,2019-03-03 23:30:00
38,2019-03-03 23:35:00
43,2019-03-03 23:40:00
75,2019-03-03 23:45:00
54,2019-03-03 23:50:00
39,2019-03-03 23:55:00
27,2019-03-04 00:00:00
32,2019-03-04 00:05:00
43,2019-03-04 00:10:00
22,2019-03-04 00:15:00
7,2019-03-04 00:20:00
25,2019-03-04 00:25:00
28,2019-03-04 00:30:00
29,2019-03-04 00:35:00
44,2019-03-04 00:40:00
32,2019-03-04 00:45:00
38,2019-03-04 00:50:00
15,2019-03-04 00:55:00
34,2019-03-04 01:00:00
49,2019-03-04 01:05:00
33,2019-03-04 01:10:00
27,2019-03-04 01:15:00
26,2019-03-04 01:20:00
45,2019-03-04 01:25:00
13,2019-03-04 01:30:00
23,2019-03-04 01:35:00
30,2019-03-04 01:40:00
33,2019-03-04 01:45:00
19,2019-03-04 01:50:00
28,2019-03-04 01:55:00
19,2019-03-04 02:00:00
23,2019-03-04 02:05:00
20,2019-03-04 02:10:00
8,2019-03-04 02:15:00
22,2019-03-04 02:20:00
33,2019-03-04 02:25:00
10,2019-03-04 02:30:00
19,2019-03-04 02:35:00
30,2019-03-04 02:40:00
9,2019-03-04 02:45:00
24,2019-03-04 02:50:00
9,2019-03-04 02:55:00
36,2019-03-04 03:00:00
50,2019-03-04 03:05:00
46,2019-03-04 03:10:00
19,2019-03-04 03:15:00
31,2019-03-04 03:20:00
23,2019-03-04 03:25:00
23,2019-03-04 03:30:00
41,2019-03-04 03:35:00
6,2019-03-04 03:40:00
35,2019-03-04 03:45:00
21,2019-03-04 03:50:00
39,2019-03-04 03:55:00
-3,2019-03-04 04:00:00
18,2019-03-04 04:05:00
29,2019-03-04 04:10:00
35,2019-03-04 04:15:00
26,2019-03-04 04:20:00
32,2019-03-04 04:25:00
20,2019-03-04 04:30:00
0,2019-03-04 04:35:00
37,2019-03-04 04:40:00
34,2019-03-04 04:45:00
28,2019-03-04 04:50:00
27,2019-03-04 04:55:00
57,2019-03-04 05:00:00
40,2019-03-04 05:05:00
37,2019-03-04 05:10:00
43,2019-03-04 05:15:00
59,2019-03-04 05:20:00
28,2019-03-04 05:25:00
59,2019-03-04 05:30:00
