fecha,origen,destino,viajes
20250303,16093,37136,687.313
20250303,16029,04233,764.098
20250303,16255,36100,170.085
20250303,16111,13156,710.819
20250303,17058,15080,538.174
20250303,17064,39191,218.078
20250303,17269,47056,743.639
20250303,17135,34039,897.482
20250303,17216,34281,777.56
20250303,17027,41181,620.159
20250303,17119,11056,712.406
20250303,17177,40097,466.943
20250303,18044,20102,146.005
20250303,18126,18253,543.049
20250303,18031,21290,682.879
20250303,18164,41115,767.9
20250303,18076,48109,227.497
20250303,18116,02228,894.5
20250303,18039,08102,763.752
20250303,19112,48077,191.612
20250303,19037,36296,211.07
20250303,19054,10160,468.093
20250303,19172,49225,268.635
20250303,19136,48225,719.907
20250303,19065,08021,489.254
20250303,19046,02033,363.54
20250303,20134,38075,164.284
20250303,20137,49298,813.185
20250303,20076,48198,427.406
20250303,20074,39068,217.427
20250303,20128,02295,216.044
20250303,20151,09053,791.171
20250303,21145,49055,642.494
20250303,21256,14078,340.703
20250303,21158,43155,610.256
20250303,21144,28298,736.835
20250303,21119,10262,259.91
20250303,21076,08102,884.085
20250303,21034,51282,299.92
20250303,22291,43063,515.051
20250303,22133,26164,151.613
20250303,22274,40095,587.98
20250303,22295,04154,482.749
20250303,22071,45264,713.548
20250303,22237,44296,672.022
20250303,22228,16255,651.552
20250303,23220,18091,250.76
20250303,23025,40235,837.176
20250303,23050,44179,376.959
20250303,23253,49178,521.284
20250303,23047,15028,873.034
20250303,23115,30132,339.899
20250303,23241,31240,668.217
20250303,23240,34246,458.123
20250303,24068,22001,771.343
20250303,24207,38101,642.333
20250303,24125,11013,719.954
20250303,24165,07020,687.717
20250303,24239,01196,485.562
20250303,24287,25123,681.947
20250303,24161,28279,186.111
20250303,24219,50169,555.325
20250303,25279,33012,473.199
20250303,25036,33021,177.846
20250303,25165,42178,293.314
20250303,25004,11086,274.317
20250303,25263,39136,705.224
20250303,26212,06166,749.496
20250303,26047,25247,758.755
20250303,26186,20203,620.626
20250303,26125,22031,428.944
20250303,26167,09223,416.736
20250303,26127,25022,512.852
20250303,26226,04102,764.919
20250303,26240,20113,732.488
20250303,27288,24226,146.824
20250303,27214,37117,791.06
20250303,27086,31148,638.496
20250303,27167,40203,575.207
20250303,27114,22034,348.261
20250303,27055,34088,455.981
20250303,27170,52153,468.956
20250303,27106,49112,573.514
20250303,28232,50085,3727.514
20250303,28266,18080,7288.478
20250303,28093,26280,1594.506
20250303,28205,12260,3277.015
20250303,28162,26023,4030.103
20250303,28060,15248,6889.606
20250303,28048,25243,4295.629
20250303,28230,43112,4912.141
20250303,29061,28095,671.092
20250303,29240,41153,691.604
20250303,29017,31245,467.251
20250303,29074,04043,312.008
20250303,29205,19193,413.766
20250303,29081,34267,491.699
20250303,30057,28265,278.471
20250303,30189,04288,345.528
20250303,30257,16070,172.631
20250303,30077,34127,722.032
20250303,30115,37242,226.807
20250303,30059,03097,719.239
20250303,31146,40277,631.979
20250303,31178,33240,705.201
20250303,31230,03103,320.467
20250303,31270,23022,230.544
20250303,31147,20132,619.062
20250303,31149,08246,255.503
20250303,32283,15260,140.117
20250303,32288,01055,248.737
20250303,32287,25254,477.375
20250303,32005,09049,330.319
20250303,32229,42153,601.36
20250303,33044,22247,757.139
20250303,33125,35049,840.572
20250303,33064,47176,158.569
20250303,33200,02199,588.271
20250303,33108,41283,863.618
20250303,34014,47044,365.857
20250303,34035,18010,768.139
20250303,34204,48281,597.302
20250303,34296,40200,649.156
20250303,34116,30060,594.132
20250303,35230,18115,134.557
20250303,35154,21217,661.258
20250303,35180,22217,709.31
20250303,35255,05101,180.448
20250303,35126,07166,357.056
20250303,35056,51134,843.837
20250303,35005,15127,650.761
20250303,35269,20256,434.538
20250303,36001,05236,311.471
20250303,36024,08018,655.336
20250303,36240,42064,328.714
20250303,36227,49226,667.877
20250303,36081,23039,755.728
20250303,36155,07274,147.47
20250303,37171,29046,185.831
20250303,37254,11083,716.461
20250303,37246,32272,610.545
20250303,37094,20136,792.638
20250303,37276,16215,615.826
20250303,37227,11222,415.044
20250303,37147,38051,422.241
20250303,38037,02098,676.608
20250303,38288,12062,690.03
20250303,38147,15258,790.713
20250303,38141,22134,344.645
20250303,38180,16153,291.214
20250303,38024,32082,254.916
20250303,38212,04239,287.229
20250303,39107,39267,332.928
20250303,39276,05172,515.246
20250303,39158,04118,810.128
20250303,39038,43142,747.596
20250303,39105,04253,794.943
20250303,39178,50260,124.463
20250303,40156,13111,712.833
20250303,40227,04115,753.861
20250303,40080,23141,473.457
20250303,40225,51292,152.543
20250303,40096,39118,239.631
20250303,40054,05021,863.789
20250303,41171,31157,372.431
20250303,41194,32171,706.751
20250303,41229,31022,549.367
20250303,41241,23060,574.526
20250303,41232,26055,602.949
20250303,41050,46245,225.368
20250303,41247,29253,434.354
20250303,42124,15231,542.525
20250303,42112,22206,556.157
20250303,42044,06249,840.611
20250303,42245,32031,314.625
20250303,42216,10181,830.017
20250303,42254,37014,379.287
20250303,42210,11148,838.841
20250303,43282,04236,499.883
20250303,43052,51157,701.491
20250303,43143,23209,395.817
20250303,43043,31294,705.563
20250303,43244,07132,362.523
20250303,43242,46234,129.923
20250303,44261,29049,475.485
20250303,44181,35074,249.01
20250303,44152,26042,341.937
20250303,44291,03257,221.482
20250303,44065,32139,398.078
20250303,44122,31220,146.451
20250303,45078,18242,319.554
20250303,45226,12121,708.88
20250303,45259,22065,836.093
20250303,45266,21093,694.052
20250303,45149,14134,461.547
20250303,45042,16181,849.761
20250303,46044,22213,490.862
20250303,46255,07103,662.7
20250303,46291,11039,826.489
20250303,46294,06212,378.61
20250303,46028,03281,145.759
20250303,46117,48105,172.3
20250303,46183,26171,477.857
20250303,47169,23221,649.323
20250303,47186,52181,754.027
20250303,47047,20123,730.98
20250303,47211,47022,327.513
20250303,47297,12136,855.368
20250303,47149,50202,853.363
20250303,47112,35122,412.318
20250303,47066,40026,469.595
20250303,48064,21037,229.058
20250303,48130,08019,708.115
20250303,48014,30141,745.822
20250303,48201,27069,302.343
20250303,48151,15130,713.339
20250303,48091,36112,372.087
20250303,49191,41056,203.008
20250303,49297,37048,351.164
20250303,49227,26191,146.58
20250303,49222,22274,317.666
20250303,49173,35105,595.449
20250303,49225,31229,671.134
20250303,50056,05168,277.842
20250303,50290,38076,276.234
20250303,50057,52179,592.128
20250303,50086,03297,861.053
20250303,50237,03240,589.018
20250303,51084,37086,375.769
20250303,51101,49002,147.485
20250303,51216,29045,277.935
20250303,51023,44100,174.968
20250303,51152,02067,459.463
20250303,51278,48062,672.592
20250303,51267,01178,869.385
20250303,52196,47057,192.698
20250303,52191,46096,141.787
20250303,52251,12297,218.408
20250303,52008,36190,198.345
20250303,52079,09215,381.653
