trip_id,start_time,start_station,end_station,duration_min
T1268,2019-03-03 14:22:00,Trindade,Marquês,12
T1292,2019-03-03 14:25:00,Trindade,Bolhão,35
T1934,2019-03-03 14:27:00,Aliados,Trindade,19
T1135,2019-03-03 14:51:00,Marquês,Casa da Música,22
T1248,2019-03-03 14:52:00,Trindade,Trindade,30
T2204,2019-03-03 15:05:00,Marquês,Trindade,11
T2467,2019-03-03 15:06:00,Campanhã,Campanhã,19
T1922,2019-03-03 15:18:00,Trindade,Marquês,30
T2632,2019-03-03 15:18:00,Campanhã,Aliados,35
T1392,2019-03-03 15:27:00,Casa da Música,Trindade,22
T2369,2019-03-03 15:29:00,Campanhã,Casa da Música,15
T2265,2019-03-03 15:32:00,Aliados,Campanhã,32
T2982,2019-03-03 15:33:00,Aliados,Aliados,31
T2353,2019-03-03 15:46:00,Trindade,Casa da Música,26
T2817,2019-03-03 16:12:00,São Bento,Trindade,19
T2612,2019-03-03 16:19:00,Marquês,Bolhão,26
T2977,2019-03-03 16:26:00,Trindade,Casa da Música,31
T1991,2019-03-03 16:34:00,Aliados,Marquês,20
T1346,2019-03-03 16:48:00,Casa da Música,Bolhão,29
T1206,2019-03-03 16:56:00,Trindade,Aliados,21
T2794,2019-03-04 07:01:00,Aliados,Aliados,17
T1327,2019-03-04 07:14:00,Aliados,Bolhão,16
T2814,2019-03-04 07:15:00,Trindade,Aliados,8
T1428,2019-03-04 07:19:00,Campanhã,São Bento,8
T1359,2019-03-04 07:25:00,Bolhão,Campanhã,11
T2880,2019-03-04 07:30:00,Aliados,Marquês,16
T1046,2019-03-04 07:41:00,Marquês,Aliados,8
T1816,2019-03-04 08:10:00,Campanhã,Casa da Música,7
T1104,2019-03-04 08:12:00,Campanhã,São Bento,16
T1774,2019-03-04 08:14:00,São Bento,Marquês,4
T1202,2019-03-04 08:24:00,Marquês,Bolhão,14
T2165,2019-03-04 08:24:00,Campanhã,Campanhã,12
T1642,2019-03-04 08:29:00,Trindade,São Bento,3
T1553,2019-03-04 08:37:00,Aliados,Casa da Música,6
T1199,2019-03-04 08:38:00,Trindade,Bolhão,10
T2671,2019-03-04 08:44:00,Aliados,Casa da Música,10
T2441,2019-03-04 08:51:00,Casa da Música,Aliados,13
T2638,2019-03-04 08:57:00,Trindade,Campanhã,12
T1018,2019-03-04 09:01:00,Casa da Música,Campanhã,16
T1656,2019-03-04 09:02:00,Aliados,Marquês,10
T1256,2019-03-04 09:05:00,Campanhã,Marquês,10
T2779,2019-03-04 09:18:00,Trindade,São Bento,20
T1338,2019-03-04 09:37:00,Casa da Música,Bolhão,15
T2983,2019-03-04 12:30:00,Aliados,Trindade,12
T2889,2019-03-04 12:40:00,Aliados,Aliados,10
T1425,2019-03-04 12:43:00,Aliados,Casa da Música,6
T2255,2019-03-04 12:44:00,Marquês,Bolhão,6
T1743,2019-03-04 12:57:00,Aliados,Aliados,17
T2575,2019-03-04 17:05:00,Casa da Música,Bolhão,5
T1912,2019-03-04 17:28:00,Campanhã,Marquês,6
T2774,2019-03-04 17:40:00,Trindade,Casa da Música,11
T1657,2019-03-04 17:55:00,Aliados,São Bento,10
T1709,2019-03-04 17:59:00,Bolhão,Trindade,20
T2487,2019-03-04 18:01:00,Campanhã,São Bento,14
T1896,2019-03-04 18:05:00,Casa da Música,Trindade,7
T1066,2019-03-04 18:05:00,Casa da Música,Trindade,17
T1680,2019-03-04 18:05:00,Trindade,Campanhã,16
T1388,2019-03-04 18:07:00,Casa da Música,Trindade,9
T1622,2019-03-04 18:09:00,Campanhã,Campanhã,13
T1651,2019-03-04 18:20:00,Trindade,São Bento,8
T2345,2019-03-04 18:21:00,Trindade,Bolhão,16
T2160,2019-03-04 18:26:00,Bolhão,Aliados,11
T2868,2019-03-04 18:28:00,Campanhã,São Bento,10
T1390,2019-03-04 18:35:00,Bolhão,Casa da Música,9
T2775,2019-03-04 18:39:00,Marquês,Trindade,20
T1489,2019-03-04 18:43:00,São Bento,Aliados,13
T1874,2019-03-04 18:47:00,Aliados,Trindade,13
T1581,2019-03-04 18:48:00,São Bento,Campanhã,14
T2447,2019-03-04 18:55:00,Aliados,São Bento,17
T2902,2019-03-04 18:59:00,Casa da Música,Marquês,6
T2571,2019-03-04 19:10:00,Casa da Música,Aliados,14
T1958,2019-03-04 19:21:00,São Bento,São Bento,13
T1703,2019-03-04 19:26:00,Bolhão,Campanhã,24
T2296,2019-03-04 19:39:00,Casa da Música,Casa da Música,13
T2799,2019-03-04 19:41:00,Casa da Música,Campanhã,9
T1529,2019-03-05 07:05:00,Casa da Música,Marquês,11
T2099,2019-03-05 07:16:00,Trindade,Casa da Música,18
T1588,2019-03-05 07:24:00,Aliados,Trindade,16
T1127,2019-03-05 07:29:00,Campanhã,Campanhã,12
T2642,2019-03-05 07:30:00,Trindade,Trindade,7
T2209,2019-03-05 07:35:00,Aliados,Marquês,9
T1525,2019-03-05 07:45:00,Trindade,Trindade,17
T1235,2019-03-05 07:47:00,São Bento,São Bento,16
T2124,2019-03-05 07:56:00,Casa da Música,Aliados,19
T1990,2019-03-05 07:58:00,Marquês,Bolhão,18
T2136,2019-03-05 08:04:00,Aliados,Bolhão,8
T2143,2019-03-05 08:07:00,Aliados,Aliados,12
T1493,2019-03-05 08:11:00,Campanhã,Marquês,15
T2565,2019-03-05 08:12:00,Bolhão,Trindade,11
T2034,2019-03-05 08:12:00,Trindade,Casa da Música,6
T1900,2019-03-05 08:17:00,Trindade,Casa da Música,8
T2641,2019-03-05 08:24:00,Trindade,São Bento,15
T2559,2019-03-05 08:36:00,Aliados,Campanhã,10
T2105,2019-03-05 08:43:00,Campanhã,Aliados,18
T1805,2019-03-05 08:45:00,Bolhão,Bolhão,14
T1612,2019-03-05 08:46:00,Bolhão,Aliados,15
T1437,2019-03-05 08:47:00,Casa da Música,Aliados,19
T1678,2019-03-05 08:47:00,Aliados,São Bento,12
T2164,2019-03-05 08:49:00,Bolhão,Marquês,5
T2470,2019-03-05 08:50:00,Trindade,Casa da Música,7
T1050,2019-03-05 08:54:00,Casa da Música,Casa da Música,13
T2072,2019-03-05 08:56:00,Bolhão,Marquês,2
T2674,2019-03-05 09:01:00,São Bento,Aliados,13
T2423,2019-03-05 09:10:00,Trindade,São Bento,10
T1159,2019-03-05 09:30:00,Aliados,Campanhã,5
T2262,2019-03-05 09:33:00,Campanhã,Aliados,8
T2073,2019-03-05 09:44:00,Trindade,Bolhão,6
T1043,2019-03-05 09:49:00,Campanhã,Marquês,15
T1149,2019-03-05 09:51:00,Trindade,Aliados,11
T2736,2019-03-05 12:08:00,Campanhã,Aliados,6
T2603,2019-03-05 12:10:00,Casa da Música,Aliados,14
T2235,2019-03-05 12:14:00,Casa da Música,Aliados,12
T2107,2019-03-05 12:18:00,Casa da Música,Marquês,10
T2251,2019-03-05 12:21:00,Casa da Música,Bolhão,6
T2781,2019-03-05 12:30:00,São Bento,Bolhão,12
T2509,2019-03-05 12:46:00,Bolhão,Marquês,15
T1674,2019-03-05 12:48:00,Campanhã,Bolhão,10
T1079,2019-03-05 12:53:00,Casa da Música,Aliados,16
T2819,2019-03-05 12:55:00,Bolhão,Bolhão,14
T2990,2019-03-05 17:00:00,Trindade,Casa da Música,11
T1016,2019-03-05 17:15:00,Aliados,Campanhã,16
T1225,2019-03-05 17:21:00,Trindade,São Bento,13
T2551,2019-03-05 17:39:00,Trindade,Casa da Música,10
T1643,2019-03-05 17:41:00,Aliados,São Bento,13
T1111,2019-03-05 17:42:00,Bolhão,Aliados,15
T1741,2019-03-05 17:49:00,São Bento,São Bento,10
T1308,2019-03-05 18:00:00,Trindade,Casa da Música,10
T2572,2019-03-05 18:00:00,São Bento,Trindade,10
T2891,2019-03-05 18:00:00,Casa da Música,Aliados,10
T2818,2019-03-05 18:02:00,Marquês,Marquês,7
T1527,2019-03-05 18:04:00,Trindade,Bolhão,11
T2517,2019-03-05 18:07:00,Aliados,Casa da Música,10
T2479,2019-03-05 18:09:00,Casa da Música,Bolhão,18
T1274,2019-03-05 18:10:00,Marquês,Aliados,7
T1468,2019-03-05 18:11:00,Bolhão,São Bento,3
T2440,2019-03-05 18:11:00,Bolhão,São Bento,11
T2695,2019-03-05 18:18:00,Casa da Música,Marquês,13
T2387,2019-03-05 18:24:00,Campanhã,São Bento,6
T2294,2019-03-05 18:27:00,Campanhã,Aliados,14
T2006,2019-03-05 18:31:00,Aliados,Marquês,11
T1424,2019-03-05 18:37:00,Aliados,Casa da Música,8
T1266,2019-03-05 18:56:00,São Bento,São Bento,9
T1928,2019-03-05 19:12:00,Campanhã,Bolhão,10
T1844,2019-03-05 19:42:00,Aliados,Marquês,16
T1637,2019-03-05 19:57:00,Campanhã,Aliados,10
T2026,2019-03-06 07:09:00,Casa da Música,Marquês,15
T1084,2019-03-06 07:22:00,Trindade,Casa da Música,12
T2995,2019-03-06 07:40:00,Bolhão,Bolhão,13
T1520,2019-03-06 07:53:00,Aliados,Bolhão,12
T2052,2019-03-06 07:54:00,Trindade,Bolhão,9
T1667,2019-03-06 07:58:00,Aliados,Trindade,13
T2417,2019-03-06 08:03:00,Trindade,Casa da Música,13
T2461,2019-03-06 08:05:00,Campanhã,Casa da Música,11
T2226,2019-03-06 08:05:00,Casa da Música,Marquês,7
T1571,2019-03-06 08:06:00,Trindade,Casa da Música,14
T1332,2019-03-06 08:08:00,Trindade,São Bento,11
T2507,2019-03-06 08:12:00,Campanhã,Marquês,13
T1603,2019-03-06 08:25:00,Aliados,Casa da Música,13
T1718,2019-03-06 08:32:00,Bolhão,Aliados,10
T1810,2019-03-06 08:33:00,São Bento,Marquês,5
T2292,2019-03-06 08:34:00,Marquês,Marquês,12
T2708,2019-03-06 08:36:00,Campanhã,Casa da Música,11
T1407,2019-03-06 08:37:00,Trindade,Aliados,3
T1482,2019-03-06 08:38:00,Marquês,Campanhã,12
T1583,2019-03-06 08:38:00,Bolhão,Aliados,20
T1067,2019-03-06 08:39:00,São Bento,Trindade,17
T2669,2019-03-06 08:40:00,Campanhã,São Bento,11
T1546,2019-03-06 08:41:00,Campanhã,São Bento,11
T1381,2019-03-06 08:42:00,São Bento,Bolhão,13
T1739,2019-03-06 08:44:00,Marquês,Campanhã,11
T2119,2019-03-06 08:46:00,Aliados,São Bento,13
T2126,2019-03-06 08:48:00,Campanhã,São Bento,10
T1372,2019-03-06 08:50:00,Bolhão,São Bento,4
T1736,2019-03-06 08:52:00,Campanhã,Trindade,10
T1659,2019-03-06 08:54:00,Aliados,Trindade,14
T1543,2019-03-06 08:55:00,Marquês,São Bento,16
T2416,2019-03-06 08:59:00,Trindade,Casa da Música,9
T2469,2019-03-06 09:01:00,Aliados,São Bento,16
T1711,2019-03-06 09:08:00,Marquês,Bolhão,12
T1791,2019-03-06 09:14:00,São Bento,Trindade,18
T1476,2019-03-06 09:30:00,Trindade,Aliados,12
T1389,2019-03-06 09:31:00,Bolhão,Bolhão,10
T1469,2019-03-06 09:31:00,São Bento,Campanhã,14
T1494,2019-03-06 09:34:00,Trindade,Marquês,12
T1347,2019-03-06 09:41:00,Trindade,São Bento,16
T1717,2019-03-06 09:50:00,Casa da Música,Trindade,12
T2388,2019-03-06 12:03:00,Trindade,Aliados,10
T2324,2019-03-06 12:06:00,Campanhã,Campanhã,20
T2211,2019-03-06 12:11:00,Casa da Música,São Bento,12
T2922,2019-03-06 12:43:00,Trindade,Marquês,14
T2996,2019-03-06 17:01:00,Marquês,Bolhão,9
T2438,2019-03-06 17:05:00,Aliados,Campanhã,13
T2117,2019-03-06 17:08:00,Campanhã,Aliados,11
T1257,2019-03-06 17:12:00,São Bento,Aliados,16
T2829,2019-03-06 17:13:00,Bolhão,Campanhã,13
T1710,2019-03-06 17:18:00,Aliados,Aliados,10
T1252,2019-03-06 17:22:00,Bolhão,Bolhão,12
T2788,2019-03-06 17:26:00,Trindade,Marquês,14
T2109,2019-03-06 17:33:00,São Bento,Bolhão,10
T1959,2019-03-06 17:35:00,Aliados,Aliados,17
T1658,2019-03-06 17:38:00,Aliados,São Bento,13
T1161,2019-03-06 17:51:00,Marquês,Marquês,9
T2288,2019-03-06 17:59:00,Trindade,São Bento,8
T1318,2019-03-06 18:08:00,Campanhã,Aliados,13
T2698,2019-03-06 18:12:00,São Bento,Marquês,13
T2499,2019-03-06 18:32:00,Casa da Música,Casa da Música,15
T2325,2019-03-06 18:33:00,Aliados,São Bento,13
T2762,2019-03-06 18:40:00,Campanhã,Trindade,11
T1916,2019-03-06 18:44:00,Trindade,Casa da Música,7
T1296,2019-03-06 18:58:00,Aliados,São Bento,15
T2941,2019-03-06 19:04:00,Marquês,São Bento,21
T2454,2019-03-06 19:06:00,Campanhã,Casa da Música,13
T1795,2019-03-06 19:08:00,Casa da Música,Bolhão,8
T2133,2019-03-06 19:09:00,Casa da Música,Marquês,13
T1167,2019-03-06 19:22:00,Casa da Música,Casa da Música,15
T2127,2019-03-06 19:29:00,Bolhão,São Bento,11
T2048,2019-03-06 19:46:00,Bolhão,Marquês,13
T2451,2019-03-06 19:54:00,Marquês,Marquês,14
T2751,2019-03-07 07:18:00,Casa da Música,São Bento,8
T1253,2019-03-07 07:19:00,Campanhã,Casa da Música,10
T2071,2019-03-07 07:36:00,Campanhã,Trindade,16
T2053,2019-03-07 07:39:00,Aliados,São Bento,8
T1999,2019-03-07 07:53:00,São Bento,Campanhã,5
T2303,2019-03-07 08:01:00,Bolhão,Campanhã,12
T1321,2019-03-07 08:04:00,Aliados,São Bento,16
T2515,2019-03-07 08:17:00,Trindade,Bolhão,20
T1007,2019-03-07 08:18:00,São Bento,São Bento,10
T1505,2019-03-07 08:19:00,Trindade,Aliados,9
T1317,2019-03-07 08:19:00,São Bento,Trindade,10
T1110,2019-03-07 08:20:00,Aliados,Casa da Música,12
T2812,2019-03-07 08:23:00,Trindade,Trindade,5
T2570,2019-03-07 08:26:00,Aliados,Trindade,16
T2636,2019-03-07 08:33:00,Casa da Música,Campanhã,10
T1602,2019-03-07 08:34:00,Aliados,Casa da Música,7
T2411,2019-03-07 08:43:00,Aliados,São Bento,17
T2241,2019-03-07 08:49:00,São Bento,Aliados,8
T2266,2019-03-07 08:50:00,Trindade,Marquês,13
T2870,2019-03-07 08:52:00,Trindade,Bolhão,16
T1041,2019-03-07 08:55:00,Bolhão,Casa da Música,12
T1671,2019-03-07 08:57:00,Trindade,Casa da Música,13
T1443,2019-03-07 08:59:00,Bolhão,Trindade,12
T1178,2019-03-07 09:03:00,Aliados,Aliados,15
T1889,2019-03-07 09:11:00,Marquês,Casa da Música,11
T1576,2019-03-07 09:18:00,Trindade,Aliados,11
T2903,2019-03-07 09:20:00,Casa da Música,São Bento,12
T2851,2019-03-07 09:29:00,Casa da Música,Trindade,17
T2911,2019-03-07 09:36:00,Campanhã,São Bento,10
T2739,2019-03-07 09:36:00,Bolhão,Campanhã,18
T2321,2019-03-07 09:39:00,Aliados,São Bento,13
T1610,2019-03-07 09:42:00,Aliados,Trindade,11
T2616,2019-03-07 09:54:00,Casa da Música,Casa da Música,18
T2746,2019-03-07 12:01:00,Bolhão,Casa da Música,15
T1404,2019-03-07 12:03:00,Campanhã,Marquês,8
T2999,2019-03-07 12:12:00,São Bento,Trindade,11
T2184,2019-03-07 12:30:00,Campanhã,São Bento,8
T2331,2019-03-07 12:32:00,Campanhã,Casa da Música,15
T2017,2019-03-07 12:38:00,Marquês,São Bento,12
T2703,2019-03-07 17:06:00,Trindade,Trindade,18
T2159,2019-03-07 17:15:00,Bolhão,Aliados,11
T1992,2019-03-07 17:26:00,Aliados,Trindade,12
T1475,2019-03-07 17:35:00,São Bento,Marquês,16
T1139,2019-03-07 17:39:00,Casa da Música,Bolhão,21
T2771,2019-03-07 17:46:00,Aliados,Marquês,16
T1885,2019-03-07 17:47:00,Trindade,Trindade,13
T2964,2019-03-07 17:48:00,Aliados,Bolhão,10
T1508,2019-03-07 18:04:00,São Bento,Aliados,8
T1883,2019-03-07 18:05:00,Bolhão,Casa da Música,12
T1826,2019-03-07 18:07:00,Trindade,Bolhão,4
T2286,2019-03-07 18:16:00,Casa da Música,Campanhã,16
T2832,2019-03-07 18:19:00,Aliados,São Bento,10
T1270,2019-03-07 18:26:00,Aliados,Bolhão,11
T2707,2019-03-07 18:27:00,Bolhão,Aliados,18
T2540,2019-03-07 18:27:00,Casa da Música,Trindade,14
T2092,2019-03-07 18:31:00,Marquês,Aliados,13
T1272,2019-03-07 18:41:00,Bolhão,Campanhã,14
T2568,2019-03-07 18:48:00,Trindade,Trindade,5
T2146,2019-03-07 18:52:00,Marquês,Bolhão,9
T2630,2019-03-07 18:59:00,Aliados,Aliados,17
T1753,2019-03-07 19:14:00,Casa da Música,São Bento,6
T1839,2019-03-07 19:42:00,Casa da Música,São Bento,5
T2534,2019-03-07 19:42:00,Aliados,Casa da Música,16
T2114,2019-03-07 19:42:00,Casa da Música,Aliados,13
T2510,2019-03-07 19:46:00,Trindade,São Bento,16
T2778,2019-03-07 19:50:00,Aliados,Casa da Música,11
T1071,2019-03-07 19:52:00,Trindade,Marquês,10
T1522,2019-03-07 19:57:00,Bolhão,São Bento,12
T2032,2019-03-08 07:05:00,Aliados,Aliados,14
T2696,2019-03-08 07:07:00,Bolhão,Trindade,11
T2757,2019-03-08 07:11:00,Casa da Música,Trindade,17
T2233,2019-03-08 07:14:00,São Bento,Aliados,12
T2533,2019-03-08 07:14:00,Bolhão,Trindade,9
T2060,2019-03-08 07:37:00,Casa da Música,Bolhão,4
T1748,2019-03-08 07:41:00,Casa da Música,Campanhã,13
T2705,2019-03-08 07:46:00,Campanhã,Casa da Música,12
T1483,2019-03-08 07:57:00,Casa da Música,São Bento,13
T1251,2019-03-08 08:02:00,Casa da Música,Aliados,14
T2037,2019-03-08 08:03:00,São Bento,São Bento,8
T2918,2019-03-08 08:06:00,Aliados,Trindade,13
T1294,2019-03-08 08:19:00,Trindade,Trindade,14
T1964,2019-03-08 08:23:00,Campanhã,Casa da Música,14
T1828,2019-03-08 08:24:00,Campanhã,Aliados,16
T1694,2019-03-08 08:24:00,Trindade,Marquês,10
T1954,2019-03-08 08:28:00,Campanhã,Marquês,9
T2102,2019-03-08 08:30:00,São Bento,São Bento,7
T2520,2019-03-08 08:32:00,Casa da Música,São Bento,8
T1094,2019-03-08 08:34:00,Campanhã,Campanhã,7
T2504,2019-03-08 08:34:00,Trindade,São Bento,8
T1025,2019-03-08 08:34:00,Casa da Música,Bolhão,14
T2549,2019-03-08 08:35:00,Trindade,São Bento,10
T1179,2019-03-08 08:51:00,Trindade,Marquês,16
T2888,2019-03-08 08:52:00,Campanhã,São Bento,14
T1164,2019-03-08 08:57:00,São Bento,Bolhão,10
